Smiles,DC50 (nM),Sensor,Dmax (%),"IC50 (nM, Protac to Target)","IC50 (nM, Cellular activities)",Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
COC1=CC=CC=C1S(=O)(=O)NC1=CC=C2C3=C(C=C(CCC(=O)NCCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C=C13)C(=O)N2C,,,,,25.23/179.5,752.806,752.2264477,3.2,-4.89,54,7,10,4,13,200.39
CCS(=O)(=O)NC1=CC=C(OC2=CC=C(F)C=C2F)C(C2=CN(C)C(=O)C3=C2C=C(C(=O)NCC2=CN(CCOCCOCC(=O)NC4=CC=CC5=C4CN(C4CCC(=O)NC4=O)C5=O)N=N2)[NH]3)=C1,,,,3.4,245/5960/2220,970.969,970.2879797,3.15,-5.29,69,8,15,5,19,267.04
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(CCC(=O)NCCOCCOCCNCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,,,,4.8,2340/5810/5860,1073.671,1072.424352,4.61,-5.3,75,7,17,6,25,268.69
O=C(CCCNC(=O)CNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1,,,,,2200/7100,877.931,877.3559023,2.87,-4.53,64,7,11,5,17,240.15
O=C(CCCCCCCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1)NCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,,,,21/87,891.014,890.4126889,4.62,-5.61,65,7,10,4,20,211.05
COC1=CC(N2CCN(CCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2S(=O)(=O)C(C)C)=N1,,,,8.95,21.3/2.6/95,961.499,960.3355366,4.65,-4.77,67,7,17,5,21,242.83
COC1=CC(N2CCN(CCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2S(=O)(=O)C(C)C)=N1,,,,13.5,21.3/2.6/95,961.499,960.3355366,4.65,-4.77,67,7,17,5,21,242.83
COC1=CC(N2CCN(CCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2S(=O)(=O)C(C)C)=N1,,,,26.6,21.3/2.6/95,961.499,960.3355366,4.65,-4.77,67,7,17,5,21,242.83
COC1=CC(N2CCN(CCOCCOCCNC(=O)CNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)CC2)=CC=C1NC1=NC=C(Cl)C(NC2=CC=CC=C2S(=O)(=O)C(C)C)=N1,,,,115,21.3/2.6/95,961.499,960.3355366,4.65,-4.77,67,7,17,5,21,242.83
CC1=NN=C2COCC3=C(SC(C#CC4=CN(COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,20.81/19.7/311,673.711,673.1743526,3.62,-4.64,49,8,12,1,6,150.54
CC1=NN=C2COCC3=C(SC(C#CC4=CN(COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,20.81/19.7/311,673.711,673.1743526,3.62,-4.64,49,8,12,1,6,150.54
CC1=NN=C2COCC3=C(SC(C#CC4=CN(COC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,20.81/19.7/311,673.711,673.1743526,3.62,-4.64,49,8,12,1,6,150.54
CC1=CC(NC2=CC=NC(NC3=CC=C(OCCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C=C3)=N2)=N[NH]1,,,,,2.7/7.6,669.699,669.2659445,3.81,-4.59,49,6,13,5,16,201.79
CC1=CC(NC2=CC=NC(NC3=CC=C(OCCOCCOCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C=C3)=N2)=N[NH]1,,,,,2.7/7.6,669.699,669.2659445,3.81,-4.59,49,6,13,5,16,201.79
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCNC(=O)CNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,2.5/19.9,870.928,870.3561564,4.21,-3.86,64,9,15,6,16,260.46
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCNC(=O)CNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,2.5/19.9,870.928,870.3561564,4.21,-3.86,64,9,15,6,16,260.46
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCNC(=O)CNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,2.5/19.9,870.928,870.3561564,4.21,-3.86,64,9,15,6,16,260.46
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,2.4/9.5,799.849,799.3190427,4.44,-3.81,59,9,14,5,13,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,2.4/9.5,799.849,799.3190427,4.44,-3.81,59,9,14,5,13,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,2.4/9.5,799.849,799.3190427,4.44,-3.81,59,9,14,5,13,231.36
O=C(CCCCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1,,,,,1900/8700,878.915,878.3399179,3.04,-4.8,64,7,11,4,17,237.35
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(CCC(=O)NCCOCCNCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,,,,4.6,1830/6730/5780,1029.618,1028.398137,4.42,-5.28,72,7,16,6,22,259.46
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(C(=O)CCCC(=O)N[C@H](C(=O)N2C[C@H](O)C[C@H]2C(=O)NCC2=CC=C(C3=C(C)N=CS3)C=C2)C(C)(C)C)CC1,,,,110,180/58,1084.807,1083.44773,6.19,-6.17,75,7,14,5,19,225.15
O=C(CCCCCNC(=O)CNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1,,,,,1700/2200,905.985,905.3872025,3.34,-4.76,66,7,11,5,19,240.15
CCS(=O)(=O)NC1=CC=C(OC2=CC=C(F)C=C2F)C(C2=CN(C)C(=O)C3=C2C=C(C(=O)NCC2=CN(CCOCC(=O)NC4=CC=CC5=C4CN(C4CCC(=O)NC4=O)C5=O)N=N2)[NH]3)=C1,,,,2.7,165/4090/6470,926.916,926.2617649,3.06,-5.26,66,8,14,5,16,257.81
COC1=CC=CC=C1S(=O)(=O)NC1=CC=C2C3=C(C=C(CCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C4CCC(=O)NC4=O)C5=O)C=C13)C(=O)N2C,,,,,1648/>10000,738.779,738.2107977,3.02,-4.72,53,7,10,4,12,200.39
C=CC(=O)NC1=CC(NC2=NC=CC(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CCN(C)CCOCCOCC(=O)NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,,,,,1425/1874/1388,872.984,872.3969586,4.39,-4.81,64,7,14,4,20,201.59
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(CCC(=O)NCCCCNC(=O)COC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,,,,15.8,1300/>20000/6990,1014.603,1013.387238,5.27,-5.34,71,7,15,5,21,247.43
COC1=CC(OC)=C(/C=C/S(=O)(=O)CC2=CC=C(OC)C(NCC(=O)NC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=C2)C(OC)=C1,,,,,12800/23120/19250,706.73,706.1944789,2.83,-4.92,50,5,12,3,13,195.74
O=C(CCCCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1)NCCNC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O,,,,,123/495,848.933,848.3657387,3.85,-5.15,62,7,10,4,17,211.05
O=C(CCCNC(=O)COC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O)NCCCCCC(=O)N1CCN(C(=O)C2=CC(CC3=N[NH]C(=O)C4=CC=CC=C34)=CC=C2F)CC1,,,,,1200/3100,878.915,878.3399179,3.03,-4.84,64,7,11,4,17,237.35
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CNC(=O)CCCCCCCCCCC(=O)N3CCN(C(=O)C4=CC(CC5=N[NH]C(=O)C6=CC=CC=C56)=CC=C4F)CC3)C(C)(C)C)C=C2)SC=N1,,,,,1200/1600,1048.296,1047.505209,4.97,-6.12,75,7,11,5,22,227.1
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCNC(=O)CCCCCCCCCCC(=O)N3CCN(C(=O)C4=CC(CC5=N[NH]C(=O)C6=CC=CC=C56)=CC=C4F)CC3)C(C)(C)C)C=C2)SC=N1,,,,,120/170,1104.404,1103.56781,5.5,-6.27,79,7,11,5,26,227.1
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,,,,,115.3/11.5/863.7,785.283,784.2194442,3.42,-5.07,55,7,12,3,12,194.05
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,,,,,115.3/11.5/863.7,785.283,784.2194442,3.42,-5.07,55,7,12,3,12,194.05
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,,,,,115.3/11.5/863.7,785.283,784.2194442,3.42,-5.07,55,7,12,3,12,194.05
C=CC(=O)NC1=CC(NC2=NC=CC(C3=CN(C)C4=CC=CC=C34)=N2)=C(OC)C=C1N(C)CCN(C)CCOCCOCCOCC(=O)NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,,,,,1117/1611/1698,917.037,916.4231734,4.46,-4.87,67,7,15,4,23,210.82
CC1=CC(NC2=NC=C(Cl)C(NC3=CC=CC=C3S(=O)(=O)C(C)C)=N2)=C(OC(C)C)C=C1C1CCN(CCC(=O)NCCCCCCNCC(=O)NC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)CC1,,,,50.9,1100/5130/4360,1041.673,1040.434522,5.06,-5.4,73,7,15,6,23,250.23
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(OCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C1)N=C2C1=CC=C(Cl)C=C1,,,,,1.05/18.2/3.3,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(OCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C1)N=C2C1=CC=C(Cl)C=C1,,,,,1.05/18.2/3.3,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NC1=CC=C(OCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C=C1)N=C2C1=CC=C(Cl)C=C1,,,,,1.05/18.2/3.3,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.98/13.7,784.878,784.3445291,4.78,-3.87,58,9,12,4,13,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.98/13.7,784.878,784.3445291,4.78,-3.87,58,9,12,4,13,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.98/13.7,784.878,784.3445291,4.78,-3.87,58,9,12,4,13,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.9/5.4,814.904,814.3550938,4.57,-3.87,60,9,13,4,15,211.49
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.9/5.4,814.904,814.3550938,4.57,-3.87,60,9,13,4,15,211.49
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.9/5.4,814.904,814.3550938,4.57,-3.87,60,9,13,4,15,211.49
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.63/3.7,841.93,841.3659928,5.2,-3.92,62,9,14,5,16,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.63/3.7,841.93,841.3659928,5.2,-3.92,62,9,14,5,16,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.63/3.7,841.93,841.3659928,5.2,-3.92,62,9,14,5,16,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.48/3.9,856.941,856.3656585,5.11,-4.07,63,9,14,4,17,228.56
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.48/3.9,856.941,856.3656585,5.11,-4.07,63,9,14,4,17,228.56
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCOC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.48/3.9,856.941,856.3656585,5.11,-4.07,63,9,14,4,17,228.56
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.45/5,813.876,813.3346927,4.68,-3.88,60,9,14,5,14,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.45/5,813.876,813.3346927,4.68,-3.88,60,9,14,5,14,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.45/5,813.876,813.3346927,4.68,-3.88,60,9,14,5,14,231.36
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,,,,,0.43/7.45/2.4,986.662,985.3745649,4.82,-5.58,68,7,14,4,18,202.26
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,,,,,0.43/7.45/2.4,986.662,985.3745649,4.82,-5.58,68,7,14,4,18,202.26
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCCOCCNC(=O)C[C@@H]3N=C(C4=CC=C(Cl)C=C4)C4=C(SC(C)=C4C)N4C(C)=NN=C34)C(C)(C)C)C=C2)SC=N1,,,,,0.43/7.45/2.4,986.662,985.3745649,4.82,-5.58,68,7,14,4,18,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.42/5.9,828.887,828.3343584,4.48,-3.92,61,9,14,4,15,228.56
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.42/5.9,828.887,828.3343584,4.48,-3.92,61,9,14,4,15,228.56
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCOCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.42/5.9,828.887,828.3343584,4.48,-3.92,61,9,14,4,15,228.56
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCCC#CC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.39/0.72/1.6,709.788,709.2107381,4.28,-4.56,52,8,11,1,6,141.31
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCCC#CC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.39/0.72/1.6,709.788,709.2107381,4.28,-4.56,52,8,11,1,6,141.31
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCCC#CC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.39/0.72/1.6,709.788,709.2107381,4.28,-4.56,52,8,11,1,6,141.31
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.379/0.47/2.23,686.754,686.2059871,3.5,-4.63,50,8,12,2,7,153.34
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.379/0.47/2.23,686.754,686.2059871,3.5,-4.63,50,8,12,2,7,153.34
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.379/0.47/2.23,686.754,686.2059871,3.5,-4.63,50,8,12,2,7,153.34
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.36/2.2/0.051,798.905,798.3601792,5.09,-3.92,59,9,12,4,14,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.36/2.2/0.051,798.905,798.3601792,5.09,-3.92,59,9,12,4,14,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2CN(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.36/2.2/0.051,798.905,798.3601792,5.09,-3.92,59,9,12,4,14,202.26
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.2/1.2,855.957,855.3816429,5.47,-4.01,63,9,14,5,17,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.2/1.2,855.957,855.3816429,5.47,-4.01,63,9,14,5,17,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.2/1.2,855.957,855.3816429,5.47,-4.01,63,9,14,5,17,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.17/2.5,826.915,826.3550938,5.15,-4.03,61,9,13,4,15,219.33
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.17/2.5,826.915,826.3550938,5.15,-4.03,61,9,13,4,15,219.33
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.17/2.5,826.915,826.3550938,5.15,-4.03,61,9,13,4,15,219.33
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.14/2.1,827.903,827.3503428,4.92,-3.92,61,9,14,5,15,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.14/2.1,812.888,812.3394437,4.89,-3.94,60,9,13,4,14,219.33
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.14/2.1,827.903,827.3503428,4.92,-3.92,61,9,14,5,15,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.14/2.1,812.888,812.3394437,4.89,-3.94,60,9,13,4,14,219.33
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCNC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.14/2.1,827.903,827.3503428,4.92,-3.92,61,9,14,5,15,231.36
CCN1N=C(C2CC2)C=C1NC1=NC(C(=O)NCCCCCC2=CC=CC3=C2C(=O)N(C2CCC(=O)NC2=O)C3=O)=NC2=C1C1=CC(OC)=C(C3=C(C)ON=C3C)C=C1[NH]2,,,,,0.14/2.1,812.888,812.3394437,4.89,-3.94,60,9,13,4,14,219.33
CC1=NN=C2COCC3=C(SC(C#CC4=CN(CCCCCC5=CC=CC6=C5CN(C5CCC(=O)NC5=O)C6=O)N=C4)=C3CC3=CC=CC=C3)N12,,,,,0.081/0.14/0.53,699.837,699.2627737,4.55,-4.92,51,8,10,1,9,124.24
