Smiles,DC50 (nM),Sensor,Dmax (%),"IC50 (nM, Protac to Target)","IC50 (nM, Cellular activities)",Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C(OCCOC3=CC=C(CN4CCN(C5=CC(C6=CC=CC=C6O)=NN=C5N)CC4)C=C3)=C2)SC=N1,4.65,0,,770/700,28/68,936.124,935.4163944,4.55,-5.83,67,8,14,5,16,208.6
CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCCCCCCN3CCN(C(=O)CCC(=O)NC4=CC=CC(SC5=NC=C(N6CCC(C)(N)CC6)N=C5N)=C4Cl)CC3)C(C)(C)C)C=C2)SC=N1,4.3,0,,,660/9.9,1115.913,1114.537548,5.09,-6.04,77,7,15,6,22,245.34
C=C(F)C(=O)N1CCN(C2=NC(OC[C@@H]3CCCN3CCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)=NC3=C2CCN(C2=CC=CC4=CC=CC(Cl)=C24)C3)C[C@@H]1CC#N,556.7,0,80/75/90,,,1132.805,1131.493121,5.95,-5.22,80,9,15,3,20,209.69
CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCC3=CN(CCNC(=O)C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C5=C(SC(C)=C5C)N5C(C)=NN=C45)N=N3)C(C)(C)C)C=C2)SC=N1,304.5,0,,,,995.633,994.3497472,4.13,-4.95,69,8,16,4,16,223.74
CC1=C(C(=O)N2N=C(NC3=CC=C(S(=O)(=O)NCCOCC4=CN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C5CCC(=O)NC5=O)C6=O)N=N4)C=C3)N=C2N)SC=C1,29,0,,,,890.962,890.2588275,2.65,-4.58,62,7,20,5,21,285.98
O=C1CCC(N2C(=O)C3=CC=C(NCCOCCOCCOCCOCCOCCNCCCONC(=O)C4=CC=C(F)C(F)=C4NC4=CC=C(I)C=C4F)C=C3C2=O)C(=O)N1,46.5,0,,,,984.764,984.237789,4.32,-5.34,62,5,14,5,28,204.12
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCCCNC(=O)COC1=CC=CC3=C1C(=O)N(C1CCC(=O)NC1=O)C3=O)N=C2C1=CC=C(Cl)C=C1,750,0,,,,785.283,784.2194442,3.42,-5.07,55,7,12,3,12,194.05
NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C(=O)NCCCCC#CC3=CC=CC4=C3CN(C3CCC(=O)NC3=O)C4=O)C[C@H](NC(=O)C3=CC4=CC(C(F)(F)P(=O)(O)O)=CC=C4[NH]3)C(=O)N12)C(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1,30.5,0,,,91/430,1159.154,1158.41761,3.13,-5.67,83,9,10,9,18,322.84
COC(=O)C[C@@H]1N=C(C2=CC=C(Cl)C=C2)C2=C(SC(C(=O)NCCCCCCCCNC(=O)COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)=C2C)N2C(C)=NN=C12,525,1,,,,885.4,884.2718737,4.07,-5.4,62,7,14,3,17,220.35
NC(=O)C1=C(N)N([C@@H]2CCCN(C(=O)COCCOCCOCCOCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)N=C1C1=CC=C(OC2=CC=C(F)C=C2F)C=C1,111.8,0,85/71,,,946.962,946.3672755,3.52,-4.95,68,7,16,4,24,258.2
CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)NCCN1C=C(COC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N1)N=C2C1=CC=C(Cl)C=C1,495,0,,,,781.255,780.1993775,3.29,-4.58,55,8,14,2,10,195.66
CC1=CC=C(C(=O)NCCCCC2=CN(CCCC(=O)NCCCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)N=N2)C=C1N1C(C)=CC(OCC2=CC=C(F)C=C2F)=C(Br)C1=O,48.69,0,,,,998.883,997.2933781,4.92,-5.09,68,7,13,4,21,215.72
