DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
1.295,814.879,814.3351073,4.08,-4.49,60,9,13,2,12,174.68
0.23,949.93,949.2901256,3.75,-5.25,67,7,18,5,20,273.96
0.3,1004.285,1003.422371,7.07,-6.27,71,7,13,5,22,190.86
100000,959.162,958.5065091,3.5,-4.86,70,6,14,6,26,235.49
30000,652.712,652.2757809,2.81,-4.41,48,6,11,3,11,177.39
30000,726.791,726.3125603,2.59,-4.41,53,6,13,3,16,195.85
25000,666.739,666.2914309,3.1,-4.54,49,6,11,3,12,177.39
22000,680.766,680.307081,3.36,-4.65,50,6,11,3,13,177.39
21600,820.004,819.4319472,3.95,-4.99,60,4,11,5,24,213.75
20500,844.454,843.4086249,4.58,-5.09,60,4,11,5,25,202.85
20000,839.913,839.3829463,4,-5.48,60,4,12,6,25,208.28
16840,770.836,770.3163083,3.93,-4.99,56,7,12,2,8,194.79
15000,694.793,694.3227311,3.68,-4.75,51,6,11,3,14,177.39
14000,708.82,708.3383811,3.99,-4.82,52,6,11,3,15,177.39
13850,718.712,718.2373893,3.41,-5.6,52,6,13,1,9,197.98
11700,863.979,863.4193318,4.74,-5.14,62,4,11,5,24,202.85
10000,798.898,798.3700752,3.24,-4.65,58,6,14,3,21,205.08
10000,1020.189,1019.455066,4.68,-6,72,6,14,6,26,222.6
10000,1150.417,1149.546994,5.65,-6.28,83,9,17,4,27,231.67
7420,890.955,890.3711378,3.06,-4.37,65,7,15,5,19,265.07
6720,730.771,730.2850082,3.53,-5.15,53,6,12,3,10,203.58
6500,1175.47,1174.443851,3.51,-5.07,82,8,17,6,22,282.65
6200,736.845,736.3384614,5.02,-5.84,54,6,7,4,17,170.43
5400,722.818,722.3228113,4.73,-5.66,53,6,7,4,16,170.43
5012,1130.309,1129.588442,3.53,-4.59,81,7,18,6,26,272.68
5000,722.847,722.3540312,4.39,-4.93,53,6,11,3,16,177.39
5000,1094.246,1093.524859,5.81,-5.65,79,7,13,6,28,223.47
5000,1031.168,1030.423431,6.04,-6.19,73,7,15,4,26,204.46
4700,983.131,982.4135352,4.88,-5.6,70,8,13,4,17,211.11
4320,741.722,741.2619217,1.22,-3.98,54,7,16,3,11,246.4
3600,722.847,722.3540312,4.3,-4.9,53,6,11,3,16,177.39
3000,1020.651,1019.360058,5.06,-5.6,70,7,15,4,20,211.49
3000,1020.651,1019.360058,5.06,-5.6,70,7,15,4,20,211.49
3000,941.858,940.2101247,4.46,-5.7,63,7,12,4,21,209.62
3000,1055.174,1054.460033,5,-5.57,77,8,15,6,27,256.54
2860,829.828,829.3143512,1.31,-4.27,60,7,18,3,17,264.86
2840,966.816,965.2930231,3.1,-3.69,64,5,19,6,32,267.79
2630,1130.112,1129.391061,3.23,-5.67,81,9,10,8,17,310.81
2546.1,827.961,827.3312471,3.27,-5.64,59,6,11,5,14,224.28
2512,1135.403,1134.568458,4.19,-5.63,81,8,19,5,25,264.67
2470,1199.219,1198.448911,3.17,-5.7,86,10,11,8,17,314.05
2300,1054.23,1053.50117,5.61,-5.94,77,8,13,5,28,227.44
2000,888.97,888.3240515,4.7,-5.97,63,6,12,5,16,197
2000,882.069,881.3415955,4.76,-5.76,61,6,12,4,16,175.32
2000,1274.522,1273.596979,6.12,-6.02,91,9,15,6,29,237.79
1890,1196.34,1195.453648,6.07,-6.3,86,10,15,4,27,229.31
1800,1143.28,1142.512463,5.01,-5.56,83,8,17,6,33,275
1585,1130.309,1129.588442,3.53,-4.59,81,7,18,6,26,272.68
1160,1120.286,1119.458733,5.98,-6.27,80,8,14,5,26,228.87
1140,1210.367,1209.469298,6.24,-6.31,87,10,15,4,28,229.31
1100,1101.338,1100.536489,3.02,-5.82,78,7,18,6,29,268.47
930,1021.28,1020.435001,3.64,-4.89,72,7,16,5,20,237.51
880,1146.832,1145.508771,6.18,-5.25,81,9,15,3,21,209.69
800,1082.223,1081.498564,5.33,-5.42,79,9,14,5,16,251.25
780,1075.756,1074.422243,4.27,-5.55,74,7,17,5,24,232.75
760,1196.34,1195.453648,6.07,-6.3,86,10,15,4,27,229.31
700,909.86,908.2202955,5.1,-5.88,61,7,10,4,19,191.16
700,1078.252,1077.50117,5.97,-5.69,79,8,13,5,27,227.44
669,1064.299,1063.585488,4.5,-4.55,77,8,13,7,23,287.17
640,1145.804,1144.488369,5.51,-5.21,81,9,15,4,19,229.56
631,958.608,957.3432648,4.34,-5.47,66,7,14,4,17,202.26
631,1064.324,1063.531344,4.42,-5.58,76,8,18,4,22,235.57
625,954.971,954.3537118,4.14,-5,70,9,14,3,13,209.13
611.4,956.596,955.3388481,4.39,-5.57,66,7,14,5,14,214.98
600,1082.284,1081.53247,6.12,-6.13,79,8,13,5,30,227.44
600,1231.386,1230.564892,5.08,-5.53,89,8,19,6,39,293.46
590,832.988,832.3479003,3.56,-4.58,60,7,13,5,15,208.98
560,1041.257,1040.48414,4.2,-5.67,74,8,16,3,22,199.15
500,1061.501,1060.376985,4.07,-5.24,75,8,18,5,28,275.45
500,1006.055,1005.276115,4.41,-5.62,70,8,16,4,20,254.44
