DC50 (nM),Molecular Weight,Exact Mass,logP,logS,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area
10,1114.793,1113.433142,5.73,-5.68,77,8,18,4,25,231.67
10,831.935,831.3816429,3.17,-3.99,61,8,15,4,14,220.93
10,972.025,971.3813681,3.89,-4.72,71,8,18,2,24,261.88
10,823.847,823.2498835,4.52,-5.64,58,6,11,1,17,159.97
9.6,1109.147,1108.456484,3.58,-5.14,79,7,20,4,34,295.12
9.5,1120.286,1119.458733,5.98,-6.27,80,8,14,5,26,228.87
9.12,775.82,775.3289386,2.52,-4.65,56,5,15,5,23,244.77
9.1,1069.711,1068.45758,6.35,-6.07,74,7,14,6,21,220.11
8.6,947.015,946.3861192,3.85,-5.23,69,8,17,2,24,238.09
8.6,902.968,902.3900171,4.12,-4.84,66,9,17,3,16,210.52
8.5,1012.704,1011.401448,5.33,-5.76,70,7,14,5,18,214.98
8.3,774.835,774.3125603,4.04,-5.03,57,8,14,2,15,193.33
8.2,896.902,896.2774952,4.18,-5.35,63,6,14,4,20,227.56
7.9,760.852,760.3332957,4.42,-4.95,56,8,13,2,15,176.26
7.6,996.148,995.3645364,5.5,-5.86,69,6,14,5,20,217.31
7.5,1102.253,1101.390002,3.35,-5.61,77,8,16,5,21,256.48
7.5,1166.872,1165.546729,6.83,-6.04,81,8,15,5,23,214.56
7.2,962.599,961.3170501,5.3,-4.99,67,7,13,4,13,193.03
7.2,1097.765,1096.48888,6.77,-6.13,76,7,14,6,23,220.11
7,1046.714,1045.395694,4.66,-5.65,72,7,16,4,23,220.72
7,1090.105,1089.387037,7.49,-6.25,69,5,10,5,25,165.23
7,1111.792,1110.50453,6.98,-6.15,77,7,14,6,24,220.11
6.8,1010.203,1009.379044,5.1,-5.74,71,8,12,5,16,210.03
6.6,907.005,906.3925419,3.88,-4.59,67,8,15,4,15,250.87
6.5,1104.132,1103.402687,7.32,-6.33,70,5,10,6,27,174.02
6.3,1457.175,1455.523278,7.37,-6.11,100,10,20,4,34,263.88
6.2,787.834,787.3078093,3.25,-5.04,58,8,14,3,14,213.2
6.1,780.93,780.3747666,5,-4.53,58,9,9,3,7,161.95
6.02,979.558,978.3824868,3.23,-5.24,68,7,17,6,23,271.76
6,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
6,998.107,997.4334037,4.95,-4.92,73,8,17,2,24,252.65
5.9,1040.305,1039.510215,5.11,-5.51,75,8,14,5,18,213.5
5.5,1002.661,1001.36948,4.42,-5.56,69,7,15,4,20,211.49
5.3,869.988,869.4085264,3.86,-4.61,64,9,17,3,15,222.54
5.2,1009.22,1008.355019,7.57,-6.12,72,8,13,6,17,212.01
5.1,1094.325,1093.521922,4.9,-5.75,78,9,18,4,22,235.57
5,995.232,994.4786603,5.06,-5.8,71,8,14,3,19,180.69
5,827.364,826.2663944,4.73,-5.35,58,7,13,3,15,194.05
5,1024.201,1023.363474,6.58,-6.43,72,7,11,3,17,177.43
5,1056.747,1055.486973,6.56,-6.24,74,7,13,4,24,191.45
5,788.947,788.3479805,4.44,-5,56,7,11,5,16,185.7
5,1011.233,1010.566584,5.08,-4.84,73,7,14,5,20,215.89
5,891.987,891.4027723,2.82,-4.03,65,8,17,4,18,239.39
5,785.283,784.2194442,3.86,-5.07,55,7,13,3,12,194.05
4.8,1329.631,1328.495612,6.15,-5.64,93,9,20,5,34,271.66
4.5,995.232,994.4786603,5.06,-5.8,71,8,14,3,19,180.69
4.5,1405.095,1403.480744,6.91,-5.97,96,10,19,4,30,245.64
4,1010.175,1009.380186,5.66,-5.91,70,6,14,5,21,217.31
4,1016.327,1015.5466,5.68,-5.73,73,8,15,4,19,207.88
4,995.232,994.4786603,5.06,-5.8,71,8,14,3,19,180.69
3.9,789.981,789.4002531,6.11,-4.57,59,9,8,2,7,132.85
3.8,795.854,795.334024,2.81,-4.81,58,6,13,5,20,226.42
3.54,1009.339,1008.55202,6.98,-5.24,73,9,14,5,20,185.77
3.41,737.774,737.2921592,3.07,-4.71,54,6,12,5,15,217.19
3.4,1195.47,1194.520622,5.08,-5.87,84,9,15,6,23,250.05
3.3,1056.747,1055.486973,6.56,-6.24,74,7,13,4,24,191.45
3.3,879.4,878.2725424,5.58,-4.76,62,8,16,3,16,205.84
3.2,836.907,836.3605731,3.28,-4.82,61,6,13,6,20,246.29
3,1044.325,1043.507815,7.39,-6.62,75,7,13,3,28,178.09
3,996.148,995.3645364,5.46,-5.8,69,6,14,5,20,217.31
2.54,765.828,765.3234593,3.59,-4.81,56,6,12,5,17,217.19
2.5,1350.015,1348.438545,6.91,-6.41,92,9,18,4,30,242.4
2.5,889.022,888.2822484,4.12,-5.73,62,7,15,3,20,213.68
2.2,947.059,946.4225047,4.85,-5.24,69,8,16,2,25,228.86
2.1,871.96,871.3877909,3.21,-4.46,64,9,18,3,15,231.77
2.1,1149.313,1148.405987,3.99,-5.75,81,9,16,6,19,273.27
2,878.092,877.4962787,4.09,-4.07,64,9,13,2,12,176.11
2,1060.331,1059.390419,5.13,-5.93,73,7,17,4,24,229.73
1.94,615.687,615.2692985,3.69,-5.07,45,4,8,4,14,166.5
1.91,943.123,942.4864423,5.2,-4.74,69,9,16,4,22,200.65
1.9,945.043,944.4068546,4.81,-5.4,69,8,16,2,24,228.86
1.76,995.232,994.4786603,5.06,-5.8,71,8,14,3,19,180.69
1.7,1064.324,1063.531344,4.42,-5.58,76,8,18,4,22,235.57
1.7,855.017,854.4340128,4.38,-4.76,63,9,15,2,15,193.44
1.64,779.855,779.3391094,4,-4.88,57,6,12,5,18,217.19
1.6,834.935,834.3813086,3.36,-4.11,61,8,16,3,16,210.29
1.5,972.219,971.4826624,5.4,-6.14,69,6,13,5,26,225.67
1.4,1150.297,1149.390002,4.23,-5.83,81,9,16,6,19,267.48
1.4,1060.331,1059.390419,5.13,-5.93,73,7,17,4,24,229.73
1.1,1036.286,1035.391071,7.03,-6.36,74,8,12,6,19,207.49
1.1,847.934,847.3765575,2.78,-3.9,62,8,16,4,15,230.16
0.8,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
0.8,1025.195,1024.455561,6.05,-6.09,72,7,10,4,21,158.35
0.8,831.935,831.3816429,3.17,-3.99,61,8,15,4,14,220.93
0.8,844.093,843.4959651,6.2,-4.81,62,10,9,2,9,121.01
0.7,791.973,791.4282794,4.86,-4.28,58,9,10,2,9,130.24
0.6,1003.242,1002.490054,6.81,-6.26,71,7,10,4,21,158.35
0.6,784.924,784.3923888,6.32,-5.23,57,8,7,2,12,101.22
0.6,859.108,858.5068641,5.42,-4.51,63,10,10,2,10,124.25
0.57,923.449,922.2875238,4.77,-5.38,65,8,15,3,19,204.67
0.51,995.312,994.5363697,6.78,-5.22,72,9,14,5,19,185.77
0.5,860.092,859.4908797,5.8,-4.56,63,10,10,2,9,130.24
0.5,791.973,791.4282794,4.64,-4.25,58,9,10,2,10,130.24
0.5,775.974,775.4333648,5.29,-4.49,57,9,9,2,9,121.01
0.4,961.161,960.443104,5.9,-6.16,68,7,10,4,19,158.35
0.4,975.188,974.4587541,6.27,-6.21,69,7,10,4,20,158.35
0.4,844.093,843.4959651,6.2,-4.8,62,10,9,2,9,121.01
0.4,806,805.4439295,5.23,-4.4,59,9,10,2,10,130.24
0.4,842.077,841.480315,5.36,-4.74,62,11,9,2,8,121.01
0.4,845.077,844.4799807,6.4,-4.94,62,10,9,2,9,127
0.4,846.065,845.4752296,5.36,-4.54,62,10,10,2,8,130.24
0.4,1092.395,1091.486034,6.31,-6.33,77,8,15,4,23,208.64
0.4,1045.232,1044.492768,3.66,-5.13,74,7,16,6,17,261.76
0.32,879.4,878.2725424,5.54,-4.75,62,8,16,3,16,205.84
0.3,991.187,990.4536687,5.69,-6.13,70,7,11,4,21,167.58
0.3,1005.214,1004.469319,5.95,-6.18,71,7,11,4,21,167.58
0.27,1426.71,1425.757089,5.33,-5.72,102,8,24,4,23,338.41
0.095,1096.337,1095.452209,5.48,-5.93,77,8,13,5,21,228.79
